"1357";"GOOG";"548.9136";"+9.5486";"541.0000";"549.3500";"540.2300";"2631706";"23.4.2015";"15:08";"694653"
"1358";"CSCO";"28.795";"+0.175";"28.440";"28.815";"28.200";"15279280";"23.4.2015";"15:08";"99624"
"1359";"IBM";"171.30";"+5.94";"165.40";"171.91";"165.14";"6305778";"23.4.2015";"15:08";"18241"
"1360";"INTC";"32.27";"-0.43";"32.05";"32.41";"32.01";"15756975";"23.4.2015";"15:08";"284784"
"1361";"AAPL";"130.185";"+1.565";"128.450";"130.190";"128.140";"34652544";"23.4.2015";"15:08";"22144"
"1362";"BAC";"15.75";"+0.01";"15.72";"15.80";"15.68";"35224693";"23.4.2015";"15:08";"662744"
"1363";"CVX";"110.305";"+0.805";"110.000";"110.648";"109.600";"5151026";"23.4.2015";"15:08";"667226"
"1364";"F";"15.85";"-0.06";"15.84";"15.89";"15.70";"15937089";"23.4.2015";"15:08";"13606"
"1365";"GS";"199.97";"+1.65";"197.97";"200.49";"197.60";"1610016";"23.4.2015";"15:08";"663137"
"1366";"HON";"103.2875";"+1.0975";"101.9800";"103.4100";"101.7161";"2251288";"23.4.2015";"15:08";"666236"
"1367";"JNJ";"100.71";"+0.28";"100.50";"100.79";"99.91";"4919458";"23.4.2015";"15:08";"666601"
"1368";"K";"63.999";"+0.019";"63.860";"64.110";"63.610";"555528";"23.4.2015";"15:08";"20562"
"1369";"LMT";"197.8254";"+0.1954";"197.4900";"198.9300";"196.0500";"887922";"23.4.2015";"15:08";"21553"
"1370";"MSFT";"43.59";"+0.60";"42.89";"43.60";"42.80";"31527565";"23.4.2015";"15:08";"358464"
"1371";"M";"67.85";"+0.85";"67.03";"67.85";"67.03";"1662806";"23.4.2015";"15:08";"655697"
"1372";"NOK";"7.865";"-0.135";"7.825";"7.920";"7.800";"13407583";"23.4.2015";"15:08";"657729"
"1373";"ORCL";"43.53";"-0.02";"43.51";"43.63";"42.99";"7871514";"23.4.2015";"15:08";"419344"
"1374";"QCOM";"68.23";"-0.71";"67.30";"68.41";"66.96";"14711011";"23.4.2015";"15:08";"656142"
"1375";"PG";"81.24";"-1.19";"81.42";"82.10";"81.08";"10970030";"23.4.2015";"15:08";"29312"
"1376";"YHOO";"43.91";"-0.06";"43.82";"44.06";"43.58";"11003947";"23.4.2015";"15:08";"658890"
